set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
116,5.75,2.12,0.245,-0.2,8.89,0.0,0.0,1.7467759,0.0111777885,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,23.98,0.0,0.0,1.2843308,0.007074431,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,38.17,1.0285,0.08932,0.8714054,0.0035685648,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,52.69,0.6593,0.06058,0.58772016,0.0016338378,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,67.03,0.4148,0.04388,0.4137636,0.0014835132,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,82.09,0.3466,0.04215,0.30068287,0.0019402785,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,97.15,0.2423,0.03034,0.22979109,0.0022800986,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,112.22,0.1719,0.02348,0.18426186,0.0024772738,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,127.28,0.1102,0.0191,0.15475988,0.002582533,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,142.34,0.1249,0.03074,0.13592033,0.0026350946,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,157.4,0.1269,0.03012,0.12470816,0.0026591332,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,172.47,0.0759,0.01629,0.1194652,0.0026681558,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,187.53,0.0884,0.0222,0.1194652,0.0026681563,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,202.6,0.1162,0.01823,0.12470816,0.0026591334,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,217.66,0.1069,0.02177,0.13592033,0.0026350948,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,232.72,0.1499,0.02648,0.15475988,0.002582533,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,247.78,0.1564,0.02102,0.18426178,0.0024772733,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,262.85,0.2092,0.02474,0.2297911,0.002280099,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,277.91,0.3031,0.04869,0.30068287,0.00194028,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,292.97,0.3802,0.0562,0.4137636,0.0014835132,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,307.31,0.6291,0.06616,0.58772016,0.0016338378,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,321.83,1.0307,0.10688,0.8714042,0.0035685552,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,336.02,0.0,0.0,1.2843306,0.0070744264,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
116,5.75,2.12,0.245,-0.2,351.11,0.0,0.0,1.7467759,0.011177787,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076
117,5.75,2.12,0.245,-0.26,14.3,0.0,0.0,1.6372029,0.016620032,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,26.39,0.0,0.0,1.0420897,0.00882519,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,38.87,0.8554,0.08229,0.6530416,0.0040597194,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,52.71,0.4852,0.0787,0.416336,0.0020889917,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,66.97,0.3119,0.04931,0.28351653,0.0022090657,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,82.06,0.2109,0.03009,0.20366913,0.0026346017,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,97.13,0.1577,0.01829,0.15623944,0.0028862348,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,112.2,0.1196,0.01552,0.12670198,0.0030044238,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,127.27,0.0985,0.0164,0.10787618,0.003049642,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,142.33,0.0841,0.01748,0.095975906,0.0030603472,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,157.4,0.0808,0.01668,0.088923596,0.0030582815,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,172.47,0.0692,0.01343,0.085636035,0.003054826,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,187.53,0.0595,0.01638,0.08563597,0.003054825,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,202.6,0.0713,0.01461,0.088923596,0.0030582815,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,217.67,0.0814,0.01394,0.095975906,0.0030603472,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,232.73,0.0917,0.01384,0.10787616,0.0030496418,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,247.8,0.103,0.0153,0.126702,0.0030044245,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,262.87,0.1362,0.01642,0.15623938,0.0028862348,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,277.94,0.1797,0.02044,0.20366913,0.0026346017,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,293.03,0.3344,0.03213,0.28351653,0.0022090662,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,307.29,0.4754,0.05367,0.416336,0.0020889924,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,321.13,0.7407,0.06535,0.6530416,0.0040597166,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,333.61,0.0,0.0,1.0420874,0.008825168,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
117,5.75,2.12,0.245,-0.26,345.7,0.0,0.0,1.6372029,0.016620032,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463
118,5.75,2.12,0.245,-0.34,7.5,0.0,0.0,2.6423702,0.047829814,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,28.65,0.0,0.0,0.73887366,0.009463231,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,39.99,0.5777,0.06726,0.4317753,0.003574671,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,52.42,0.296,0.02405,0.27176362,0.0011862882,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,66.92,0.2033,0.0225,0.17845416,0.0015077913,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,82.02,0.1516,0.01921,0.12706292,0.0020169825,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,97.11,0.0967,0.01438,0.09753792,0.0022359758,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,112.19,0.0792,0.01245,0.07945908,0.0023074679,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,127.26,0.0711,0.01806,0.06801837,0.0023162484,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,142.33,0.041,0.01537,0.060793173,0.0023038262,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,157.4,0.0343,0.01038,0.056512374,0.0022892633,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,172.46,0.0365,0.00793,0.05451548,0.0022805938,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,187.54,0.0264,0.00757,0.05451548,0.0022805938,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,202.6,0.048,0.01131,0.05651236,0.002289263,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,217.67,0.0491,0.00774,0.06079313,0.0023038252,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,232.74,0.0673,0.01074,0.06801837,0.0023162484,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,247.81,0.0769,0.0173,0.07945908,0.0023074679,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,262.89,0.0974,0.01708,0.09753792,0.0022359756,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,277.98,0.1327,0.01495,0.12706292,0.0020169825,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,293.08,0.1938,0.02185,0.17845406,0.0015077932,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,307.58,0.3127,0.02928,0.27176312,0.0011862858,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,320.01,0.584,0.08124,0.43177533,0.0035746752,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,331.35,0.0,0.0,0.7388736,0.009463236,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
