set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
100,5.75,1.64,0.214,-0.34,7.5,0.0,0.0,3.0266824,0.334345,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,27.62,0.0,0.0,0.9905202,0.08236177,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,37.97,0.6097,0.04957,0.5999667,0.037057947,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,51.74,0.3476,0.0315,0.3502776,0.012644108,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,66.87,0.2082,0.02604,0.22124575,0.007945257,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,81.97,0.1666,0.02617,0.15518111,0.008884633,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,97.06,0.1208,0.01839,0.11800527,0.009121289,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,112.15,0.093,0.01337,0.095733784,0.008913568,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,127.23,0.0673,0.01514,0.08193145,0.008674006,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,142.31,0.0576,0.02086,0.0733638,0.008537902,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,157.38,0.0816,0.03457,0.06835402,0.008493296,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,172.46,0.0767,0.05237,0.066031836,0.00848873,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,187.54,0.0,0.0,0.066031836,0.00848873,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,202.62,0.0632,0.02076,0.06835402,0.008493296,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,217.69,0.0894,0.0267,0.07336381,0.008537902,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,232.77,0.0623,0.01949,0.08193145,0.008674006,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,247.85,0.078,0.0154,0.095733784,0.008913568,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,262.94,0.1055,0.01704,0.11800521,0.009121289,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,278.03,0.1572,0.01809,0.15518111,0.008884633,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,293.13,0.2614,0.03947,0.22124577,0.007945258,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,308.26,0.361,0.04113,0.35027775,0.012644117,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,322.03,0.5869,0.05134,0.5999667,0.037057947,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,332.38,0.0,0.0,0.9905202,0.08236177,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
100,5.75,1.64,0.214,-0.34,352.5,0.0,0.0,3.0266824,0.3343449,-2.0760722,2.5619538,-0.8363443,2.715865,-3.3656366,4.921931,0.012016538,0.025114533
101,5.75,1.64,0.214,-0.45,7.5,0.0,0.0,6.5582213,0.9055121,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,29.04,0.0,0.0,0.7411669,0.06923038,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,38.02,0.397,0.03261,0.41896033,0.026667064,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,51.66,0.2142,0.02176,0.21246302,0.005758232,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,66.82,0.1572,0.01791,0.121135496,0.006677622,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,81.94,0.083,0.01262,0.0814831,0.0066438653,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,97.04,0.0554,0.00948,0.062627085,0.00553105,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,112.13,0.0449,0.00972,0.053135782,0.0049131364,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,127.22,0.0468,0.01404,0.048185047,0.005179736,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,142.3,0.0,0.0,0.045571014,0.0058581596,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,157.38,0.0,0.0,0.04423312,0.0064781387,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,172.45,0.0,0.0,0.043666843,0.0068241,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,187.55,0.0,0.0,0.043666843,0.0068241,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,202.62,0.0,0.0,0.04423312,0.0064781387,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,217.7,0.0232,0.01656,0.045571003,0.005858157,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,232.78,0.0566,0.02787,0.048185047,0.005179736,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,247.87,0.0407,0.00944,0.05313577,0.004913137,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,262.96,0.0501,0.01521,0.06262706,0.0055310465,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,278.06,0.0883,0.01057,0.0814831,0.0066438653,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,293.18,0.1116,0.01591,0.121135466,0.006677637,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,308.34,0.2386,0.02988,0.21246275,0.005758219,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,321.98,0.4454,0.04047,0.41896033,0.026667064,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,330.96,0.0,0.0,0.74116564,0.069230184,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
101,5.75,1.64,0.214,-0.45,352.5,0.0,0.0,6.558143,0.9055013,4.7779307,4.5589275,5.3246875,4.306112,-1.4299921,3.8171833,0.04948448,0.03150613
102,5.75,1.88,0.215,-0.11,7.84,0.0,0.0,4.02601,0.2783769,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,23.16,3.3378,0.46855,3.4156601,0.22381328,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,37.96,2.7154,0.34126,2.6275,0.15450148,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,52.73,1.5653,0.17014,1.9304538,0.09552085,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,67.28,1.1438,0.11984,1.4107738,0.05563738,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,82.17,0.8924,0.1073,1.0338333,0.034661084,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,97.2,0.8012,0.11265,0.7723013,0.031311747,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,112.25,0.7615,0.15481,0.5945967,0.035460133,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,127.3,0.4652,0.08758,0.47552118,0.0398784,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,142.35,0.4891,0.07513,0.3980818,0.042996842,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,157.41,0.3936,0.06194,0.3515376,0.04485854,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,172.47,0.3645,0.07864,0.32970017,0.04571206,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,187.53,0.0,0.0,0.32970017,0.04571207,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,202.59,0.4806,0.05398,0.3515376,0.04485854,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,217.65,0.506,0.06344,0.39808178,0.042996854,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,232.7,0.5188,0.06293,0.47552085,0.0398784,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,247.75,0.5895,0.06204,0.5945964,0.03546012,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,262.8,0.821,0.08097,0.7723013,0.031311747,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,277.83,0.9854,0.13066,1.033833,0.034661066,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,292.72,1.2637,0.1329,1.4107735,0.055637345,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,307.27,1.7853,0.17701,1.9304538,0.09552081,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,322.04,2.6943,0.30496,2.6275,0.15450145,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,336.84,3.6628,0.42446,3.4156601,0.2238132,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
102,5.75,1.88,0.215,-0.11,352.16,0.0,0.0,4.02601,0.2783769,6.076788,2.7900767,3.7705517,2.8997657,7.6275644,3.329425,0.11949338,0.045788284
103,5.75,1.88,0.215,-0.15,8.28,0.0,0.0,4.362073,0.45773637,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,24.86,0.0,0.0,3.1941092,0.31142345,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,38.98,2.3386,0.37443,2.1928475,0.18785797,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,52.95,1.4945,0.16626,1.493174,0.10414069,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,67.13,0.994,0.09953,1.0342256,0.05263449,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,82.11,0.696,0.07662,0.7293195,0.024095042,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,97.16,0.4648,0.0469,0.5371529,0.017236296,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,112.22,0.438,0.05494,0.41486096,0.021046028,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,127.28,0.3178,0.05858,0.33666,0.024760554,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,142.34,0.2737,0.05035,0.28747502,0.026968464,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,157.4,0.2863,0.03714,0.2585904,0.028092993,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,172.47,0.2677,0.03819,0.24520567,0.028550513,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,187.53,0.2752,0.03919,0.24520567,0.028550519,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,202.6,0.246,0.03749,0.25859037,0.028092999,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,217.66,0.3135,0.04524,0.287475,0.026968468,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,232.72,0.4341,0.07253,0.33666,0.024760554,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,247.78,0.4061,0.05046,0.41486096,0.021046035,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,262.84,0.494,0.05159,0.53715265,0.017236296,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,277.89,0.6686,0.06548,0.7293195,0.024095053,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,292.87,0.998,0.09878,1.0342247,0.052634414,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,307.05,1.6037,0.18729,1.4931738,0.10414059,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,321.02,1.948,0.24015,2.1928475,0.18785788,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,335.14,0.0,0.0,3.1941092,0.31142345,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
103,5.75,1.88,0.215,-0.15,351.72,0.0,0.0,4.362073,0.45773637,5.1808987,3.785791,3.7287,3.087174,5.031997,5.567343,0.114976995,0.06281594
