phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0666,0.067042984,0.0030158935
22.5,0.0719,0.06251554,0.0026231133
37.5,0.058,0.055406775,0.002072496
52.5,0.0482,0.047891222,0.0016247511
67.5,0.0422,0.04123349,0.0014002785
82.5,0.0394,0.035835646,0.0013542586
97.5,0.0295,0.031658344,0.001384474
112.5,0.0287,0.02851973,0.0014278856
127.5,0.0238,0.02623032,0.001462814
142.5,0.0248,0.024637174,0.001485935
157.5,0.0257,0.023631487,0.0014992483
172.5,0.0257,0.023144986,0.0015052023
187.5,0.0206,0.023144986,0.0015052024
202.5,0.0207,0.023631487,0.0014992483
217.5,0.0242,0.024637174,0.001485935
232.5,0.0283,0.02623032,0.0014628142
247.5,0.0272,0.02851973,0.0014278856
262.5,0.0317,0.03165835,0.001384474
277.5,0.0351,0.03583562,0.0013542586
292.5,0.0418,0.04123349,0.0014002785
307.5,0.0514,0.047891222,0.0016247511
322.5,0.0514,0.05540676,0.0020724954
337.5,0.0568,0.06251551,0.0026231122
352.5,0.06,0.067042984,0.003015894
