set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std,ReH_pseudo_mean,ReE_pseudo_mean,ReHt_pseudo_mean,dvcs_pseudo_mean
1,5.75,1.82,0.343,-0.172,7.5,0.1116,0.00492,0.11580841,0.002452032,-1.0194837,0.12527962,-1.096801,0.14011858,-1.4123564,0.18616638,0.017328748,0.0013371711,-1.0225509800043069,-0.9050515488538121,-1.240568656543918,0.018130208123670007
2,5.75,1.933,0.368,-0.232,7.5,0.0769,0.00504,0.07577279,0.0025201659,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294,-1.6502275338785983,-1.355217635086085,-1.6982044960691234,0.013289011010060468
3,5.75,1.964,0.375,-0.278,7.5,0.0752,0.00672,0.06538661,0.003445398,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923,-1.5685429852261743,-1.7153458242112654,-1.8250373541254665,0.010575260511569465
4,5.75,1.986,0.379,-0.323,7.5,0.0662,0.00924,0.060241167,0.004614609,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079,-1.6795832409195164,-1.4963727788186039,-1.6973934534092106,0.006691796132633012
5,5.75,1.999,0.381,-0.371,7.5,0.0706,0.01416,0.062450852,0.00619666,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545,-1.7613619989447904,-1.313662077238694,-0.783010679343529,0.009027229579190131
6,5.75,2.218,0.345,-0.176,7.5,0.1043,0.00432,0.10828207,0.0021789442,-1.029082,0.15358989,-1.0690267,0.15309983,-1.4033082,0.2085692,0.00834102,0.0013162771,-0.9184515176444931,-1.2134858596421159,-1.2555441377017922,0.0061238929371924145
7,5.75,2.318,0.363,-0.232,7.5,0.0803,0.0042,0.08105956,0.0022042994,-1.4431016,0.1608382,-1.3062433,0.16009481,-1.7118852,0.21234454,0.0074596875,0.0011614542,-1.5409105951818478,-1.1015670228594638,-2.1880108169938834,0.006875934542057787
8,5.75,2.348,0.368,-0.279,7.5,0.0666,0.00504,0.067042984,0.0030158935,-1.9370589,0.2245664,-1.8108852,0.22203138,-2.2946799,0.29253867,0.005542049,0.0013625436,-2.2532323567167243,-2.152909729099753,-2.514908801981571,0.0032006390090782194
9,5.75,2.36,0.371,-0.325,7.5,0.0648,0.00696,0.062375493,0.0033633425,-1.9112773,0.23863803,-1.7783786,0.23746026,-2.093681,0.32636222,0.0052582254,0.001419727,-2.004404303797523,-1.8356444777920928,-1.9612744703449845,0.0030480161481583903
10,5.75,2.375,0.373,-0.372,7.5,0.0606,0.01008,0.06053597,0.004844786,-1.6321254,0.34964976,-1.492733,0.3082261,-1.9067916,0.4745558,0.004252796,0.0012385233,-1.1763548016903884,-1.401791982547113,-1.9093640169786674,0.0033170672259910912
