set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1.0,5.75,1.82,0.343,-0.172,7.5,0.19082275775233995,0.007781704,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,22.5,0.1627632538694661,0.006679931,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,37.5,0.14554044957506196,0.0064297686,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,52.5,0.1256607400874904,0.0056685605,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,67.5,0.11484836953422643,0.0047576255,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,82.5,0.09631886319052657,0.0042796624,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,97.5,0.08276696091534014,0.0040244595,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,112.5,0.07155609004112752,0.0035999643,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,127.5,0.06454622835024647,0.003264178,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,142.5,0.06087788512211901,0.0031375932,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,157.5,0.05495852037732954,0.002970107,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,172.5,0.056878708144954444,0.0028487905,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
